id,item,conditions,list,annotation,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,combination,relevant_property,states,annotation_encoded,mean_predictions,std_predictions
1,5,ercf,1,C,4,2,2,9,9,9,2,blue,red,red,red,red,red,circle,circle,circle,circle,circle,square,sharp,color_form,first,"[[2 1 1]
 [2 0 1]
 [9 0 1]
 [9 0 1]
 [9 0 1]
 [2 0 0]]",1,1.0,2.2351742e-08
1,15,zrdc,1,C,8,9,10,10,10,10,1,blue,red,red,red,red,red,circle,square,circle,circle,circle,circle,sharp,dimension_color,second,"[[ 9  1  1]
 [10  0  0]
 [10  0  1]
 [10  0  1]
 [10  0  1]
 [ 1  0  1]]",1,1.0,2.2351742e-08
1,18,zrdc,1,C,8,9,10,9,10,9,2,blue,red,red,red,red,red,circle,square,square,circle,square,circle,sharp,dimension_color,second,"[[ 9  1  1]
 [10  0  0]
 [ 9  0  0]
 [10  0  1]
 [ 9  0  0]
 [ 2  0  1]]",1,1.0,2.2351742e-08
1,1,brdc,1,DCF,2,10,10,3,2,10,1,blue,red,blue,blue,red,red,circle,square,square,circle,square,circle,sharp,dimension_color,both,"[[10  1  1]
 [10  0  0]
 [ 3  1  0]
 [ 2  1  1]
 [10  0  0]
 [ 1  0  1]]",9,9.0,2.0116568e-07
1,10,brcf,1,CF,1,2,10,10,9,3,1,blue,blue,red,red,blue,red,circle,square,circle,circle,square,square,sharp,color_form,both,"[[ 2  1  1]
 [10  1  0]
 [10  0  1]
 [ 9  0  1]
 [ 3  1  0]
 [ 1  0  0]]",4,4.0,8.940697e-08
1,4,brdc,1,DCF,2,10,9,1,2,9,2,blue,red,blue,blue,red,red,circle,circle,circle,circle,circle,circle,sharp,dimension_color,both,"[[10  1  1]
 [ 9  0  1]
 [ 1  1  1]
 [ 2  1  1]
 [ 9  0  1]
 [ 2  0  1]]",9,9.0,2.0116568e-07
1,21,ercf,1,C,4,9,9,3,1,2,1,blue,red,red,red,red,red,circle,circle,circle,circle,circle,square,sharp,color_form,first,"[[9 1 1]
 [9 0 1]
 [3 0 1]
 [1 0 1]
 [2 0 1]
 [1 0 0]]",1,1.0,2.2351742e-08
1,21,zrcf,1,F,7,2,2,10,1,10,1,red,red,red,red,red,blue,circle,square,square,square,square,square,sharp,color_form,second,"[[ 2  0  1]
 [ 2  0  0]
 [10  0  0]
 [ 1  0  0]
 [10  0  0]
 [ 1  1  0]]",2,2.0,4.4703484e-08
1,2,zrcf,1,F,7,1,9,3,3,1,10,red,red,red,red,red,blue,circle,square,square,square,square,square,sharp,color_form,second,"[[ 1  0  1]
 [ 9  0  0]
 [ 3  0  0]
 [ 3  0  0]
 [ 1  0  0]
 [10  1  0]]",2,2.0,4.4703484e-08
1,23,brdc,1,CF,2,10,10,2,3,9,3,blue,red,blue,blue,red,red,circle,square,circle,circle,circle,square,sharp,dimension_color,both,"[[10  1  1]
 [10  0  0]
 [ 2  1  1]
 [ 3  1  1]
 [ 9  0  1]
 [ 3  0  0]]",4,4.0,8.940697e-08
1,17,brdf,1,DF,3,9,10,3,2,10,2,blue,blue,blue,blue,blue,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both,"[[ 9  1  1]
 [10  1  0]
 [ 3  1  1]
 [ 2  1  1]
 [10  1  0]
 [ 2  1  0]]",6,6.0,1.3411045e-07
1,22,erdf,1,C,6,10,1,3,3,1,1,blue,blue,blue,red,blue,blue,circle,circle,circle,circle,circle,square,sharp,dimension_form,first,"[[10  1  1]
 [ 1  1  1]
 [ 3  1  1]
 [ 3  0  1]
 [ 1  1  1]
 [ 1  1  0]]",1,1.0,2.2351742e-08
1,11,brdf,1,DF,3,10,10,1,3,9,2,blue,blue,blue,blue,blue,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both,"[[10  1  1]
 [10  1  0]
 [ 1  1  1]
 [ 3  1  1]
 [ 9  1  0]
 [ 2  1  0]]",6,6.0,1.3411045e-07
1,15,erdc,1,DF,5,9,1,2,1,2,2,red,red,red,red,red,blue,circle,circle,circle,square,square,circle,sharp,dimension_color,first,"[[9 0 1]
 [1 0 1]
 [2 0 1]
 [1 0 0]
 [2 0 0]
 [2 1 1]]",6,6.0,1.3411045e-07
1,12,brdc,1,F,2,9,9,2,2,10,2,blue,red,blue,blue,red,red,circle,square,circle,square,square,circle,sharp,dimension_color,both,"[[ 9  1  1]
 [ 9  0  0]
 [ 2  1  1]
 [ 2  1  0]
 [10  0  0]
 [ 2  0  1]]",2,2.0,4.4703484e-08
1,12,erdc,1,D,5,9,1,3,2,3,2,red,red,red,red,red,blue,circle,circle,square,circle,square,square,sharp,dimension_color,first,"[[9 0 1]
 [1 0 1]
 [3 0 0]
 [2 0 1]
 [3 0 0]
 [2 1 0]]",0,0.0,0.0
1,7,brdc,1,DF,2,9,9,1,1,10,2,blue,red,blue,blue,red,red,circle,circle,circle,square,square,circle,sharp,dimension_color,both,"[[ 9  1  1]
 [ 9  0  1]
 [ 1  1  1]
 [ 1  1  0]
 [10  0  0]
 [ 2  0  1]]",6,6.0,1.3411045e-07
1,25,brdf,1,DF,3,9,9,1,1,9,2,blue,blue,blue,blue,red,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both,"[[9 1 1]
 [9 1 0]
 [1 1 1]
 [1 1 1]
 [9 0 0]
 [2 1 0]]",6,6.0,1.3411045e-07
1,5,brcf,1,CF,1,2,2,1,2,3,2,blue,blue,red,red,blue,red,circle,square,circle,circle,square,square,sharp,color_form,both,"[[2 1 1]
 [2 1 0]
 [1 0 1]
 [2 0 1]
 [3 1 0]
 [2 0 0]]",4,4.0,8.940697e-08
1,1,erdc,1,DF,5,9,1,1,1,2,1,red,red,red,red,red,blue,circle,square,circle,circle,circle,square,sharp,dimension_color,first,"[[9 0 1]
 [1 0 0]
 [1 0 1]
 [1 0 1]
 [2 0 1]
 [1 1 0]]",6,6.0,1.3411045e-07
